sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
2,17,332,313,0.1824361540921686,76,unknown,6,0,0,0,0,0,35,0
2,0,88,656,0.778771496702707,204,school,0,0,0,0,0,0,19,0
1,33,47,614,1.898544998539845,6,unknown,0,0,0,0,0,0,2,0
1,0,99,5106,2.2128595636459463,39,unknown,0,0,0,0,0,0,133,0
2,0,268,1512,2.5588958587514434,467,work,0,0,0,0,0,0,124,0
1,0,69,43,0.05415107599246182,384,work,0,0,0,0,0,0,112,0
1,0,84,9,0.23240133702497598,629,unknown,0,0,0,0,0,0,264,0
1,0,139,3804,1.5700776371675271,316,unknown,4,0,0,0,0,3,301,0
1,0,42,52,0.2218969980686743,94,unknown,0,0,0,0,0,0,5,0
1,24,59,740,1.0173524986063436,319,unknown,0,0,0,0,0,0,41,0
1,25,22,7,0.04501944143140386,44,university,1,0,0,0,0,0,24,0
2,0,54,326,0.3176217628463413,16,school,0,0,0,0,0,0,83,0
1,0,19,35,0.05490025835800154,13,unknown,0,0,0,0,0,0,37,0
1,44,82,511,0.417984793992972,175,unknown,1,0,0,0,0,0,51,0
1,14,66,2,8.93485005170631,75,unknown,0,0,0,0,0,0,86,0
2,43,291,66798,79.39812167809492,2661,unknown,1,0,0,0,0,0,2,0
2,0,12,76,0.15849345865702813,69,unknown,0,0,0,0,0,0,146,0
1,27,288,3079,0.9449419270424995,107,university,7,3,3,6,6,3,247,0
1,23,215,4,0.31664763971069254,169,unknown,0,0,0,0,0,0,416,0
1,0,72,238,0.4214387104998559,321,unknown,0,0,0,6,1,0,57,0
1,0,57,12,0.017981741976050878,35,school,0,0,0,0,2,0,195,0
1,50,1,3154,2.421111416031611,43,unknown,0,0,0,0,0,0,7,0
1,0,18,63,0.03189574759578595,6,unknown,0,0,0,0,0,0,21,0
1,36,483,1135,0.4764405043632683,40,university,0,0,0,0,0,0,413,0
2,0,1846,142,0.3608728400037755,16,work,7,0,0,0,0,0,50,0
1,43,213,3,0.017381090741229756,21,unknown,4,0,0,0,0,0,36,0
1,0,274,121,0.4875385139057182,36,unknown,0,0,0,0,0,0,177,0
1,16,234,1285,2.2603786671754884,344,unknown,0,0,0,0,0,0,88,0
1,0,75,223,0.3239199696160271,25,unknown,0,0,0,0,0,0,29,0
1,0,119,97,0.10133043838061559,66,unknown,0,0,0,0,0,0,19,0
1,0,130,111,0.09484687748767964,24,unknown,0,0,0,0,0,0,28,0
1,0,146,36,0.04187996107684173,59,unknown,0,0,0,0,0,0,34,0
1,0,93,3270,1.5544203255818672,77,university,0,0,0,0,0,0,58,0
1,0,63,259,0.10298000080027447,9,unknown,0,0,0,0,0,0,3,0
1,0,28,5,0.011179240936268674,0,unknown,0,0,0,0,0,0,0,0
1,0,70,3789,1.6215171391950807,48,unknown,0,0,0,0,0,0,23,0
1,0,84,127,0.23142402397253228,59,university,0,0,0,0,0,0,23,0
1,0,30,14817,15.893084712099254,490,unknown,0,0,0,0,0,0,39,0
1,0,230,557,1.412910796530047,319,unknown,0,0,0,0,0,0,108,0
1,0,130,2,0.017167429729775915,5,unknown,0,0,0,0,0,0,42,0
1,0,17,8,0.2402371507707087,2,unknown,0,0,0,0,0,0,1,0
1,0,13,253,0.3612115637868684,18,unknown,0,0,0,0,0,0,53,0
1,0,50,6,0.042396068091814634,69,unknown,0,0,0,0,0,0,204,0
1,112,32,1141,5.251478880172033,40,unknown,4,0,0,0,0,0,6,0
1,19,95,903,1.588253432393972,125,unknown,0,0,0,0,0,0,2,0
2,0,1451,20,0.0072925879423329665,0,unknown,0,0,0,0,0,0,71,0
1,0,51,57,0.06255446905497178,560,school,0,0,0,0,0,0,147,0
2,0,45,15,0.023573331431945285,1,unknown,0,0,0,0,0,0,13,0
1,0,58,373,0.2944422813385619,32,unknown,0,0,0,0,0,0,7,0
2,47,1102,853,0.42769666209424767,317,unknown,0,0,0,0,0,0,85,0
1,0,300,16,0.0425009679853711,51,unknown,2,0,0,0,0,0,287,0
1,0,118,733,0.5004437492010575,139,unknown,0,0,0,0,0,0,7,0
2,0,113,41,0.036596113119635273,18,unknown,0,0,0,0,0,0,56,0
1,0,35,2,0.002674563149268391,16,university,0,0,0,0,0,0,1,0
1,15,78,2,0.8068545280508019,81,unknown,0,0,0,0,0,0,4,0
1,17,101,16,4.478830527584464,41,university,0,0,0,0,0,0,224,0
1,0,166,810,0.4744589121659973,98,university,0,0,0,0,0,0,103,0
1,0,210,53,0.025441881992548505,19,unknown,0,0,0,0,0,0,52,0
1,0,241,661,1.171356503782731,464,unknown,4,1,4,6,2,6,17095,0
2,19,195,564,0.2773719226626088,148,work,1,3,3,1,5,0,144,0
1,14,212,855,0.7113923193435037,597,work,0,0,0,0,0,0,18,0
1,0,168,771,4.3930459266868125,3,unknown,4,0,0,0,0,0,4,0
1,0,33,37,0.07719038026476098,24,unknown,0,0,0,0,0,0,21,0
1,0,70,9,0.23909990692445754,9,unknown,0,0,0,0,0,0,227,0
1,23,328,9910,3.4951094351892067,136,university,0,2,2,6,1,6,203,0
1,0,27,36,0.4155009756338013,27,unknown,0,0,0,0,0,0,0,0
1,0,46,3295,4.270314405888128,44,unknown,0,0,0,0,0,0,33,0
1,22,75,20,0.014294797556506205,35,university,0,0,0,0,0,0,139,0
2,0,1,36,1.0697923975401378,8,unknown,0,0,0,0,0,0,1,0
1,62,289,26955,16.470328896749304,58,work,4,0,0,0,0,0,40,0
1,35,6,1,0.014779063267390886,9,unknown,0,0,0,0,0,0,1,0
1,0,139,3620,1.5825757022694857,80,unknown,0,0,0,0,0,0,1,0
1,22,273,167,0.277749133251498,548,university,0,0,0,0,0,0,347,0
1,20,244,1837,0.8144258163246593,15,university,0,0,0,0,0,0,233,0
1,0,39,73,0.1855288551905986,106,school,0,0,0,0,0,0,4,0
1,23,64,1452,0.5281239090716966,0,university,0,0,0,0,0,0,1,0
1,0,1621,1116,0.31774348661095986,22,work,0,0,0,0,0,0,500,0
1,0,54,308,0.16511462915229597,50,university,0,0,0,0,0,0,12,0
1,0,77,321,0.17871072989998676,50,university,0,0,0,0,0,0,58,0
1,0,29,150,0.35764069401390886,33,unknown,6,0,0,0,0,0,70,0
1,0,60,1261,1.7255609790817639,88,unknown,0,0,0,0,0,0,5,0
1,0,89,561,2.640848926490422,10,unknown,0,0,0,0,0,0,4,0
1,19,811,3227,7.5261718167738785,316,work,0,0,0,0,0,0,16,0
1,0,356,98,0.06610500985989105,182,university,0,0,0,0,0,0,429,0
1,0,91,8,0.018123202854488357,294,unknown,0,0,0,0,0,0,158,0
2,116,510,4,0.37859202327639846,223,work,0,0,0,0,0,0,104,0
1,0,28,1,0.007677766964132744,10,unknown,0,0,0,0,0,0,3,0
1,0,375,1053,0.5578329848440694,1174,work,4,0,0,0,0,0,8,0
1,0,88,1144,1.817720123005653,61,unknown,2,1,1,1,2,0,12,0
1,15,56,86,0.12589231327667816,126,unknown,0,0,0,0,0,0,235,0
1,45,237,701,0.46072795205077344,281,unknown,0,0,0,0,0,0,54,0
1,0,255,351,0.6066238829709424,201,school,0,0,0,0,0,0,3,0
1,0,136,3827,2.9132973571836898,63,university,4,0,0,0,0,0,62,0
2,15,40,116,0.29950410769238217,51,school,0,0,0,0,0,0,11,0
1,14,200,0,0,44,unknown,0,0,0,0,0,0,17,0
1,14,138,1777,2.4297813436077043,128,unknown,6,1,1,1,2,0,44,0
1,0,146,274,0.09453951402338522,133,unknown,0,0,0,0,0,0,93,0
1,0,61,2,0.002592390634382742,48,unknown,0,0,0,0,0,0,0,0
1,16,60,9,0.016922596270987522,26,unknown,0,0,0,0,0,0,10,0
1,111,37,50,0.09392578879942796,10,unknown,0,0,0,0,0,0,4,0
1,41,175,1271,10.570083022023605,138,work,0,0,0,0,0,0,964,0
1,27,7,16,0.051515642062879494,42,unknown,0,0,0,0,0,0,3,0
1,15,49,22,0.02132819493790643,12,unknown,0,0,0,0,0,0,14,0
1,0,186,14702,15.499249082712476,65,unknown,0,0,0,0,0,0,12,0
2,20,123,18,0.035475311924755115,807,unknown,0,0,0,0,0,0,129,0
2,116,37,14,0.1349488670308516,63,university,0,0,0,0,0,0,46,0
1,0,27,28,0.07158147419844697,94,unknown,4,4,4,4,1,4,29,0
1,19,73,18,0.6580500696893302,15,unknown,4,0,0,0,0,0,3,0
1,0,60,97,0.14827626191665538,5,university,0,0,0,0,0,0,19,0
1,0,28,27,0.024666284040381313,7,unknown,4,0,0,0,0,0,15,0
1,0,106,661,0.1965270503223138,18,unknown,0,0,0,0,0,0,60,0
2,14,108,13,0.17085371335304214,304,work,0,0,0,0,0,0,206,0
1,0,3153,283,0.15951154208992802,57,university,2,0,0,0,0,0,60,0
1,28,22,8,0.13083304420214842,136,unknown,4,0,0,0,0,0,1,0
1,0,173,404,0.1839845501385993,85,work,0,0,0,0,0,0,228,0
1,28,12,22,0.0515684214715736,12,unknown,0,0,0,0,0,0,36,0
1,0,41,327,0.38220741992783774,96,unknown,0,0,0,0,0,0,20,0
1,0,143,307,0.27921386719258856,4,work,0,0,0,0,0,0,6,0
1,0,41,126,0.20813456186971158,15,unknown,0,0,0,0,0,0,6,0
1,0,113,14,0.01645782378560724,39,university,0,0,0,0,0,0,2,0
1,0,42,245,1.005733507702285,8,unknown,0,0,0,0,0,0,7,0
1,14,65,1599,5.415045037184692,72,school,5,0,0,0,0,0,10,0
1,0,209,271,0.1752594973657856,27,unknown,7,0,0,0,0,0,13,0
1,0,49,13,0.017900622285681886,5,unknown,0,0,0,0,0,0,8,0
2,20,146,117,0.1569587076619227,42,unknown,0,0,0,0,0,0,18,0
1,0,166,296,0.3637723665512971,102,school,0,1,1,0,6,0,36,0
1,20,195,276,0.1353838389357435,70,university,0,0,0,0,0,0,526,0
1,0,79,385,0.6419322438432428,17,school,0,0,0,0,0,0,11,0
1,19,334,7,0.011065375364683524,47,university,0,0,0,0,0,0,494,0
2,0,1,105,0.12217834617763725,23,unknown,0,0,0,0,0,0,0,0
1,0,96,40,0.11675570753316879,44,school,0,0,0,0,0,0,26,0
1,14,60,32,0.40076325919329,53,school,0,0,0,0,0,0,301,0
1,0,45,1,0.005256198618605301,80,unknown,0,0,0,0,0,0,790,0
1,36,13,10,0.038523934064146635,7,unknown,0,0,0,0,0,0,2,0
1,0,32,8,0.03260949716693199,434,unknown,0,0,0,0,0,0,10,0
1,46,109,931,0.4540346938400208,147,unknown,1,2,1,1,2,3,35,0
1,44,286,473,0.22880925485151407,51,work,0,0,0,0,0,0,3,0
2,56,157,6279,3.686130248139166,80,unknown,4,0,0,0,0,0,61,0
1,23,281,32,0.0319536501948574,71,unknown,0,0,0,0,0,0,9,0
1,0,41,89,0.2933026929868097,50,school,0,0,0,0,0,0,4,0
2,0,116,16,0.025517270174840925,46,school,0,0,0,1,1,3,394,0
1,0,47,29,0.038907081206792815,98,unknown,0,3,3,1,6,0,9,0
1,0,37,51,0.07597398304882229,0,unknown,0,0,0,0,0,0,7,0
1,16,93,153,1.9781761937377207,69,unknown,0,0,0,0,0,0,0,0
1,0,983,4209,1.1373510766609898,115,work,0,0,0,0,0,0,914,0
2,20,96,26,0.014229847780979587,79,university,0,0,0,0,0,0,56,0
1,0,55,7,0.0095149673047285,7,unknown,0,0,0,0,0,0,7,0
1,0,197,665,0.2508875995956874,116,university,0,0,0,0,0,0,156,0
2,28,272,1986,0.7732062345484441,173,university,0,0,0,0,0,0,143,0
