sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,85,372,0.13652163651183088,167,work,1,0,0,0,0,3,11,1
2,32,96,2481,0.9127510489167999,514,university,0,0,0,0,0,0,119,1
1,23,100,1201,0.44438842252323973,305,unknown,0,0,0,0,0,0,268,1
2,0,335,35498,17.968857498381087,382,university,6,3,3,6,1,0,81,1
1,0,472,110,0.05512161589295383,193,university,0,0,0,0,0,0,395,1
1,0,37,3249,1.2084613578783205,166,unknown,0,0,0,0,0,0,15,1
1,0,360,1705,0.6306577388788073,87,work,0,0,0,0,0,0,349,1
1,0,175,2667,1.3130942419192742,247,university,0,0,0,0,0,0,111,1
1,0,242,719,0.3271448912735468,276,university,0,0,0,0,0,0,491,1
1,0,2027,4972,1.8568416965868484,72,work,0,0,0,0,0,0,0,1
1,27,306,20,0.09242256387787105,42,work,0,0,0,0,0,0,24,1
2,0,72,6256,5.070600953827778,361,unknown,0,0,0,0,0,0,14,1
1,0,695,3492,1.4783459094173566,549,unknown,0,0,0,0,0,0,1722,1
1,0,719,5662,2.1376930297650705,359,unknown,0,0,0,0,0,0,153,1
2,78,446,1411,0.6008179396521732,288,unknown,0,0,0,0,0,0,15,1
1,0,62,369,0.25012451268473634,96,work,0,0,0,0,0,0,53,1
2,0,84,514,0.4342008746904348,115,work,0,0,0,0,0,0,25,1
1,0,314,896,0.37219366613251587,86,unknown,0,0,0,0,0,0,141,1
1,0,2,168,0.1939650247727941,65,unknown,0,0,0,0,0,0,3,1
1,0,437,3315,5.051159176272503,156,work,1,0,0,0,0,0,0,1
1,37,204,597,0.2430396156863515,74,work,0,0,0,0,0,0,192,1
2,0,61,15,0.012316758869232962,122,unknown,0,0,0,0,0,0,270,1
1,0,687,127477,60.31301729619149,244,unknown,0,0,0,0,0,0,350,1
1,0,291,1777,0.7635935766265309,416,unknown,0,0,0,0,0,0,580,1
1,0,110,84,0.08091391608202547,112,university,0,0,0,0,0,0,318,1
1,0,80,20,0.01437425140346098,102,unknown,0,0,0,0,0,0,97,1
1,0,613,1182,0.5994962460601573,263,unknown,0,0,0,0,0,0,192,1
2,0,96,21,0.01994290047746342,229,school,0,0,0,0,0,0,73,1
1,0,60,1379,0.6831492265616577,429,unknown,0,0,0,0,0,0,1023,1
1,20,56,5341,2.1251068966359985,150,university,0,0,0,0,0,0,189,1
1,0,213,7,0.0037621676311046836,121,unknown,0,0,0,0,0,0,166,1
1,34,184,15023,5.966757459729369,833,unknown,0,0,0,0,0,0,151,1
1,0,331,286,0.15304818838379836,73,unknown,0,0,0,0,0,0,20,1
1,25,174,1448,0.9126914257356509,77,university,4,4,2,1,5,4,22,1
